iter	Passed	Remaining
351	278966	909810
352	279820	909219
353	280705	908723
354	281550	908099
355	282349	907325
356	283094	906378
357	283920	905689
358	284597	904527
359	285391	903739
360	286215	903044
361	287150	902698
362	288102	902405
363	288933	901725
364	289701	900851
365	290607	900406
366	291321	899364
367	292147	898671
368	292831	897541
369	293815	897328
370	294653	896668
371	295429	895819
372	296230	895043
373	297113	894518
374	297739	893219
375	298473	892244
376	299417	891898
377	300201	891073
378	301080	890532
379	302015	890151
380	302816	889373
381	303569	888457
382	304267	887379
383	305072	886615
384	305785	885586
385	306495	884549
386	307333	883882
387	308177	883231
388	309105	882818
389	309951	882168
390	310957	881974
391	311855	881468
392	312644	880655
393	313424	879816
394	314154	878837
395	315051	878324
396	315802	877407
397	316812	877203
398	317709	876686
399	318553	876021
400	319340	875200
401	320276	874785
402	321113	874098
403	321972	873470
404	322708	872508
405	323482	871650
406	324277	870847
407	325181	870339
408	325952	869472
409	326818	868858
410	327689	868257
411	328556	867644
412	329295	866694
413	330196	866167
414	331110	865675
415	332080	865325
416	332999	864840
417	333694	863774
418	334505	863008
419	335376	862395
420	336239	861764
421	336989	860839
422	337782	860028
423	338779	859731
424	339672	859171
425	340581	858648
426	341280	857596
427	342138	856945
428	342924	856111
429	343700	855254
430	344528	854526
431	345324	853719
432	346190	853084
433	346836	851908
434	347833	851592
435	349475	852847
436	350590	852810
437	351656	852647
438	352712	852455
439	354185	853265
440	355407	853461
441	356423	853158
442	357449	852876
443	358502	852653
444	359416	852098
445	360061	850908
446	360970	850340
447	361745	849455
448	362639	848850
449	363826	848929
450	364817	848543
451	365704	847915
452	366818	847812
453	367681	847125
454	368703	846802
455	369650	846303
456	370578	845762
457	371433	845052
458	372308	844386
459	373157	843660
460	374086	843113
461	374988	842506
462	375857	841823
463	376998	841745
464	377925	841188
465	378694	840279
466	379677	839842
467	380555	839173
468	381545	838749
469	382503	838252
470	383331	837468
471	384246	836876
472	385285	836549
473	386074	835681
474	386763	834595
475	387706	834057
476	388570	833349
477	389487	832753
478	390366	832075
479	391324	831564
480	392105	830675
481	392971	829969
482	394013	829629
483	394923	829013
484	395795	828314
485	396822	827938
486	397834	827529
487	398726	826866
488	399575	826115
489	400343	825197
490	401160	824379
491	402205	824030
492	402974	823113
493	404021	822763
494	404959	822190
495	405836	821492
496	406803	820972
497	407636	820184
498	408566	819588
499	409309	818618
500	410213	817969
501	411244	817574
502	412142	816910
503	413092	816349
504	413929	815564
505	414877	814996
506	415781	814340
507	416831	813969
508	417873	813580
509	418912	813183
510	419774	812439
511	420753	811922
512	421772	811481
513	422753	810962
514	423694	810367
515	424456	809427
516	425601	809219
517	426528	808593
518	427515	808078
519	428441	807446
520	429494	807053
521	430525	806617
522	431442	805964
523	432406	805397
524	433305	804710
525	434317	804230
526	435079	803286
527	436152	802917
528	437089	802294
529	437875	801394
530	438881	800896
531	439901	800422
532	440928	799959
533	441939	799464
534	442826	798742
535	443712	798020
536	444662	797411
537	445708	796973
538	446797	796609
539	447868	796210
540	448904	795748
541	449874	795165
542	450851	794593
543	451689	793777
544	452568	793032
545	453440	792274
546	454351	791585
547	455199	790785
548	456225	790291
549	457181	789676
550	458041	788896
551	458719	787801
552	459613	787077
553	460504	786348
554	461260	785388
555	462032	784458
556	463004	783866
557	463782	782945
558	464696	782253
559	465705	781720
560	466740	781229
561	467616	780469
562	468439	779623
563	469395	778996
564	470225	778159
565	471140	777464
566	472080	776809
567	473020	776152
568	473898	775394
569	474972	774955
570	476037	774498
571	476948	773790
572	477757	772916
573	478747	772334
574	479580	771498
575	480513	770824
576	481335	769970
577	482397	769499
578	483361	768869
579	484263	768141
580	485260	767562
581	486165	766838
582	487260	766411
583	488114	765604
584	488959	764782
585	489803	763959
586	490876	763492
587	491879	762915
588	492789	762192
589	493680	761438
590	494708	760896
591	495678	760264
592	496453	759331
593	497292	758496
594	498350	757995
595	499152	757103
596	500155	756515
597	500896	755532
598	501725	754681
599	502607	753911
600	503443	753070
601	504348	752334
602	505395	751807
603	506506	751374
604	507165	750269
605	508108	749585
606	508978	748794
607	509978	748192
608	510991	747608
609	511934	746921
610	512782	746094
611	513841	745574
612	514783	744881
613	515820	744327
614	516839	743744
615	517669	742889
616	518563	742125
617	519579	741535
618	520574	740914
619	521510	740208
620	522554	739654
621	523436	738869
622	524176	737885
623	525029	737061
624	525904	736266
625	526832	735546
626	527635	734649
627	528634	734027
628	529432	733125
629	530490	732581
630	531349	731762
631	532201	730935
632	533015	730055
633	533982	729383
634	534669	728329
635	535500	727472
636	536465	726796
637	537352	726015
638	538414	725469
639	539355	724759
640	540258	723997
641	541159	723231
642	542097	722515
643	543099	721884
644	543922	721013
645	544785	720196
646	545559	719261
647	546389	718400
648	547400	717777
649	548397	717134
650	549297	716365
651	550316	715748
652	551098	714824
653	552032	714097
654	553069	713501
655	554178	712997
656	555218	712404
657	556342	711915
658	557339	711263
659	558322	710592
660	559295	709908
661	560201	709136
662	560973	708197
663	561936	707498
664	562615	706442
665	563580	705744
666	564539	705039
667	565497	704331
668	566408	703566
669	567339	702824
670	568374	702208
671	569274	701427
672	570298	700797
673	571143	699947
674	572120	699258
675	573002	698452
676	573902	697669
677	574850	696942
678	575483	695835
679	576320	694974
680	577090	694034
681	577896	693136
682	578944	692530
683	579898	691808
684	580892	691135
685	581924	690504
686	582915	689826
687	583806	689027
688	584869	688430
689	585720	687584
690	586727	686921
691	587536	686024
692	588542	685359
693	589615	684769
694	590538	684005
695	591359	683122
696	592167	682224
697	593169	681550
698	593972	680646
699	594765	679732
700	595608	678874
701	596388	677946
702	597321	677191
703	598113	676275
704	599101	675582
705	600123	674926
706	601102	674220
707	602076	673509
708	603078	672828
709	604045	672106
710	604994	671364
711	605970	670652
712	607002	670001
713	608138	669462
714	609058	668687
715	610018	667952
716	610916	667151
717	611871	666411
718	612802	665645
719	613704	664846
720	614603	664044
721	615519	663260
722	616541	662590
723	617642	662003
724	618597	661258
725	619509	660468
726	620229	659474
727	621037	658572
728	621896	657726
729	622666	656784
730	623567	655982
731	624587	655305
732	625554	654570
733	626525	653840
734	627601	653217
735	628608	652523
736	629709	651924
737	630648	651157
738	631577	650379
739	632515	649610
740	633396	648783
741	634429	648110
742	635413	647385
743	636406	646671
744	637327	645882
745	638202	645046
746	639097	644230
747	640046	643468
748	640969	642681
749	641988	641988
750	643061	641349
751	643973	640548
752	644863	639724
753	645735	638883
754	646799	638233
755	647899	637614
756	648951	636949
757	649796	636080
758	650742	635309
759	651687	634538
760	652541	633677
761	653459	632877
762	654321	632024
763	655253	631238
764	656105	630376
765	657157	629704
766	657854	628692
767	658590	627719
768	659323	626743
769	660143	625850
770	661067	625056
771	661898	624174
772	662603	623173
773	663535	622385
774	664515	621643
775	665430	620839
776	666036	619748
777	666790	618795
778	667568	617865
779	668393	616978
780	669272	616141
781	669999	615165
782	670786	614245
783	671616	613363
784	672314	612362
785	673114	611455
786	673769	610416
787	674476	609425
788	675242	608488
789	675967	607514
790	676729	606575
791	677469	605616
792	678301	604740
793	679008	603752
794	679745	602792
795	680578	601918
796	681307	600952
797	681952	599912
798	682694	598960
799	683368	597947
800	684111	596995
801	684768	595970
802	685619	595114
803	686452	594242
804	687192	593290
805	687949	592353
806	688721	591430
807	689415	590440
808	690136	589473
809	690949	588586
810	691800	587731
811	692529	586773
812	693297	585849
813	694038	584902
814	694796	583969
815	695536	583023
816	696277	582077
817	697083	581187
818	697745	580176
819	698483	579230
820	699226	578288
821	699884	577276
822	700608	576321
823	701325	575358
824	701988	574354
825	702841	573504
826	703638	572610
827	704427	571709
828	705572	571096
829	706430	570251
830	707264	569385
831	708058	568489
832	708831	567575
833	709599	566658
834	710429	565790
835	711174	564856
836	711867	563881
837	712695	563012
838	713501	562127
839	714206	561161
840	714975	560248
841	715902	559458
842	716568	558464
843	717459	557646
844	718162	556682
845	718841	555700
846	719618	554794
847	720454	553934
848	721278	553065
849	722115	552206
850	722852	551270
851	723527	550288
852	724335	549408
853	725046	548454
854	725767	547508
855	726503	546575
856	727256	545654
857	728008	544733
858	728844	543875
859	729711	543040
860	730404	542077
861	731196	541187
862	731861	540203
863	732530	539224
864	733317	538331
865	734054	537402
866	734778	536464
867	735573	535578
868	736335	534669
869	737200	533834
870	737899	532880
871	738624	531945
872	739265	530950
873	739947	529985
874	740832	529166
875	741724	528351
876	742515	527465
877	743188	526495
878	743991	525618
879	744771	524725
880	745716	523948
881	746467	523035
882	747295	522175
883	748203	521372
884	749005	520495
885	749833	519636
886	750615	518745
887	751417	517869
888	752047	516874
889	752767	515941
890	753409	514956
891	754241	514101
892	754972	513178
893	755814	512330
894	756616	511455
895	757300	510501
896	758012	509566
897	758774	508665
898	759370	507654
899	760167	506778
900	760963	505901
901	761628	504937
902	762503	504113
903	763234	503194
904	763916	502243
905	764649	501326
906	765478	500472
907	766247	499580
908	767105	498745
909	767912	497877
910	768745	497026
911	769454	496095
912	770348	495284
913	771081	494369
914	771754	493417
915	772446	492477
916	773316	491650
917	774015	490715
918	774832	489855
919	775694	489024
920	776534	488179
921	777299	487287
922	778095	486415
923	778852	485518
924	779608	484621
