iter	RMSE
326	0.9672067951
327	0.96697394
328	0.9668590909
329	0.9668144299
330	0.9666484332
331	0.9663870694
332	0.9660087607
333	0.9657721263
334	0.965224993
335	0.9650854617
336	0.9649884601
337	0.9646468694
338	0.9643561592
339	0.9639862798
340	0.9638124507
341	0.9634055674
342	0.9631072669
343	0.9627135671
344	0.9623470932
345	0.9620142144
346	0.9618144765
347	0.9617031929
348	0.9613456433
349	0.9609810114
350	0.9605467076
351	0.9603006164
352	0.9599824694
353	0.9598523428
354	0.9597410046
355	0.9594367928
356	0.9592390205
357	0.9591399909
358	0.958950347
359	0.958057131
360	0.957879199
361	0.9576136226
362	0.9575039752
363	0.957214165
364	0.9568254697
365	0.9566892591
366	0.9561119566
367	0.956052004
368	0.9558553541
369	0.9557152738
370	0.9555536936
371	0.9552484747
372	0.9547718418
373	0.9542482293
374	0.9540782701
375	0.9539045369
376	0.9536611876
377	0.9534793822
378	0.9532797212
379	0.9531167664
380	0.9526835973
381	0.9524182987
382	0.9523032344
383	0.9521331003
384	0.9519901133
385	0.9515967751
386	0.951190731
387	0.9510606369
388	0.9509305502
389	0.9507006143
390	0.9505961394
391	0.9499432494
392	0.9497111428
393	0.949547262
394	0.9494623565
395	0.9492714067
396	0.9490596171
397	0.9488943957
398	0.9488199673
399	0.9487381915
400	0.948630383
401	0.9485231715
402	0.9482723268
403	0.948056587
404	0.9478287161
405	0.9477495734
406	0.947622894
407	0.9475154141
408	0.9471129955
409	0.9469623189
410	0.946838002
411	0.9465585733
412	0.9463961608
413	0.9461298864
414	0.9458807592
415	0.9455724577
416	0.9452650268
417	0.9452022193
418	0.9447195018
419	0.9438146376
420	0.9437202634
421	0.9436540276
422	0.9435809727
423	0.9434568513
424	0.9432360588
425	0.9430811711
426	0.9428843906
427	0.9427224012
428	0.9422259601
429	0.9418779694
430	0.9417577424
431	0.9414870457
432	0.9413368673
433	0.9412845087
434	0.9412041155
435	0.9411052641
436	0.9409121157
437	0.9408075587
438	0.9406749185
439	0.940551667
440	0.9403768628
441	0.9403157516
442	0.9400367272
443	0.9398899384
444	0.9397824877
445	0.9396810195
446	0.9395451823
447	0.9394677675
448	0.9392592053
449	0.938988524
450	0.9388367722
451	0.9386310767
452	0.9384634485
453	0.9382578705
454	0.9381058155
455	0.9380192263
456	0.9378570489
457	0.9377034088
458	0.9375234341
459	0.9372960104
460	0.9371110066
461	0.9369714399
462	0.9368716693
463	0.9367374603
464	0.936471592
465	0.93642766
466	0.9362926888
467	0.9361838566
468	0.9358850183
469	0.9358381906
470	0.9356835138
471	0.9354453859
472	0.93526114
473	0.9351438858
474	0.9350295444
475	0.9348633808
476	0.934782543
477	0.9346200294
478	0.9344866168
479	0.9343749911
480	0.9342229695
481	0.9340555097
482	0.9337807113
483	0.9336996709
484	0.9335880338
485	0.9334613179
486	0.933370574
487	0.9330587667
488	0.9326745569
489	0.9326196382
490	0.9325023528
491	0.9324100942
492	0.932273076
493	0.9321910842
494	0.9321171022
495	0.9318028369
496	0.9315704436
497	0.9311417082
498	0.9310035393
499	0.9308114377
500	0.9307162392
501	0.9306157131
502	0.9305196465
503	0.9304156059
504	0.9300104168
505	0.9297868837
506	0.9297520026
507	0.9295767421
508	0.9293832555
509	0.9292484545
510	0.9290750906
511	0.9289712579
512	0.9287130928
513	0.9285220264
514	0.9283971867
515	0.9280713789
516	0.9278981177
517	0.9278044696
518	0.9276834136
519	0.9275918627
520	0.9272834327
521	0.9271634086
522	0.9269870459
523	0.9268348665
524	0.9266967622
525	0.9265531264
526	0.9264462096
527	0.9263464552
528	0.9262457927
529	0.9261411665
530	0.9259589204
531	0.9258450412
532	0.9257459389
533	0.9256247651
534	0.9255288678
535	0.9254507563
536	0.9253140135
537	0.9252119669
538	0.9250517438
539	0.9249625908
540	0.9248595205
541	0.924801559
542	0.9246123855
543	0.9244840101
544	0.9244016824
545	0.9241975626
546	0.9239883734
547	0.9237871885
548	0.9235592082
549	0.9231837539
550	0.9229599137
551	0.9227893467
552	0.9226719679
553	0.9225093113
554	0.9223343435
555	0.922276806
556	0.9220622993
557	0.9218331594
558	0.9216527643
559	0.9215120592
560	0.9213705022
561	0.9212982168
562	0.9211547857
563	0.9210549271
564	0.920909571
565	0.9206564308
566	0.920546274
567	0.9201145649
568	0.9200356185
569	0.919777394
570	0.9196618883
571	0.9191198567
572	0.9187159759
573	0.9185323442
574	0.9183624552
575	0.9182551736
576	0.9181570736
577	0.917883227
578	0.9178036975
579	0.9175988391
580	0.9174979976
581	0.9173669341
582	0.9172267532
583	0.9171438281
584	0.9168947059
585	0.9167692492
586	0.9166468159
587	0.9162932163
588	0.9162097942
589	0.9161257939
590	0.9160052381
591	0.9158885309
592	0.915794141
593	0.9156189453
594	0.9155571562
595	0.9153897197
596	0.9152339639
597	0.9151937348
598	0.9150765222
599	0.9149783311
600	0.9149508342
601	0.9148635597
602	0.9147915047
603	0.9146619826
604	0.9146033669
605	0.9144487517
606	0.914400989
607	0.9142076629
608	0.914128151
609	0.9139046332
610	0.9137635962
611	0.9135722278
612	0.9134873512
613	0.9133077415
614	0.9132297363
615	0.9130373722
616	0.9128404433
617	0.912679831
618	0.9124319965
619	0.9121744702
620	0.911964007
621	0.9119137666
622	0.9118134008
623	0.9117845101
624	0.9116388287
625	0.9114993616
626	0.9114377742
627	0.9113589596
628	0.9112920057
629	0.9111257887
630	0.9110630248
631	0.9110246389
632	0.9108946561
633	0.9108315467
634	0.9107327283
635	0.910534379
636	0.9104632634
637	0.9103588963
638	0.9102443942
639	0.9101560549
640	0.910107868
641	0.9099703946
642	0.9098768475
643	0.909428047
644	0.9093506988
645	0.9091876359
646	0.9088964005
647	0.9087557774
648	0.9085896859
649	0.9085032295
650	0.9083114498
651	0.9082005584
652	0.9079749341
653	0.9078764201
654	0.9077952803
655	0.9077441926
656	0.9076514647
657	0.9075571458
658	0.9073539873
659	0.9072016409
660	0.9070071111
661	0.9069373632
662	0.9069001261
663	0.9068685023
664	0.9065389589
665	0.9064077308
666	0.9062295074
667	0.9060567802
668	0.9059362038
669	0.905817123
670	0.9057064317
671	0.9056560274
672	0.9055714432
673	0.9054941261
674	0.905283296
675	0.9050354916
676	0.9049926992
677	0.904933638
678	0.904659269
679	0.9046017045
680	0.904525306
681	0.9044627559
682	0.9042595087
683	0.9041678251
684	0.9039104917
685	0.9037130632
686	0.9036078732
687	0.9034328458
688	0.903285399
689	0.9032496955
690	0.9031740068
691	0.903118296
692	0.9029696481
693	0.9028742013
694	0.9026585111
695	0.9024428863
696	0.9023562803
697	0.9022620333
698	0.9021792712
699	0.9021238575
700	0.9020462119
701	0.9019466104
702	0.9017310962
703	0.9016245976
704	0.9015307233
705	0.9012887772
706	0.9011781206
707	0.900956549
708	0.9008659948
709	0.900798501
710	0.9007012836
711	0.9005421702
712	0.9004977289
713	0.9003823339
714	0.9002949022
715	0.9002474354
716	0.9001784058
717	0.9000270144
718	0.899922195
719	0.8998123544
720	0.8996706135
721	0.899479636
722	0.8993564201
723	0.8992194176
724	0.8991157076
725	0.8990286292
726	0.8989716744
727	0.8988953282
728	0.8988195184
729	0.8986396556
730	0.8985419896
731	0.8984779438
732	0.898421034
733	0.8982400724
734	0.8981310209
735	0.8980533488
736	0.8979377466
737	0.8977978697
738	0.8976230383
739	0.8974619053
740	0.8973634957
741	0.897225436
742	0.8970560299
743	0.896973935
744	0.8968992409
745	0.8968023675
746	0.8967179423
747	0.8965336926
748	0.8963426035
749	0.8962620298
750	0.8961942283
751	0.8961328696
752	0.8959926163
753	0.89591232
754	0.8958722274
755	0.8957918862
756	0.8957224884
757	0.8956251461
758	0.895538551
759	0.8954703121
760	0.8952654853
761	0.8951687324
762	0.8951117338
763	0.8949877727
764	0.8949217508
765	0.8948692196
766	0.8946526139
767	0.8945909122
768	0.8945172433
769	0.8943593844
770	0.894065841
771	0.8938899631
772	0.8938112645
773	0.8937698055
774	0.8936614086
775	0.893567522
776	0.8935397506
777	0.8934123099
778	0.8932768611
779	0.8930029861
780	0.8929615569
781	0.8928799221
782	0.8927739096
783	0.8926036232
784	0.8924892242
785	0.8924220099
786	0.8923271913
787	0.8922665701
788	0.8921726112
789	0.8920745979
790	0.8919419447
791	0.8918433536
792	0.8917548276
793	0.8917006538
794	0.8916121666
795	0.8915371275
796	0.8914560136
797	0.8913898295
798	0.8913081636
799	0.8912081426
800	0.8910991125
801	0.8909912666
802	0.8908876641
803	0.8907496551
804	0.8906309292
805	0.8905591387
806	0.8905055712
807	0.8904634535
808	0.8903515039
809	0.8902927896
810	0.8901535925
811	0.8901254011
812	0.8900562803
813	0.8900079782
814	0.8899032185
815	0.8898321452
816	0.8897780051
817	0.889648907
818	0.889599174
819	0.8895190876
820	0.8894571852
821	0.8893778038
822	0.8890980539
823	0.888908719
824	0.8887448305
825	0.8885919295
826	0.8885139552
827	0.8880463439
828	0.8879791966
829	0.8879279332
830	0.8878509482
831	0.8876457476
832	0.887578094
833	0.8874257527
834	0.8873885931
835	0.8873282669
836	0.8872134086
837	0.8871613533
838	0.8870629371
839	0.8869898177
840	0.8867685053
841	0.8867179121
842	0.886645177
843	0.8865459335
844	0.8864999713
845	0.8864059193
846	0.8863572918
847	0.8863124269
848	0.886085504
849	0.886023089
850	0.8857995219
851	0.8856895307
852	0.8856039001
853	0.8855106576
854	0.8854281915
855	0.8853699622
856	0.8852848797
857	0.8851501788
858	0.8850230554
859	0.8849487681
860	0.8848806994
861	0.8848119625
862	0.8847398038
863	0.8845760924
864	0.8844008115
865	0.8842854998
866	0.8841047512
867	0.8840617265
868	0.8839734494
869	0.8839114668
870	0.8838549114
871	0.8837182067
872	0.8836499807
873	0.8836202673
874	0.8834668279
875	0.8833890572
876	0.8833296375
877	0.8831681317
878	0.8830923717
879	0.882968549
880	0.8829175019
881	0.8828625192
882	0.8828141172
883	0.8826209563
884	0.8825256393
885	0.8824318902
886	0.8823766046
887	0.8821228246
888	0.8819919252
889	0.8818972358
890	0.8817751219
891	0.8817105198
892	0.8815314037
893	0.8814367905
894	0.8812436019
895	0.8810269216
896	0.8809544346
897	0.880802204
898	0.8806299435
899	0.8805272602
900	0.8803245123
901	0.8802438686
902	0.8801400937
903	0.8799779585
904	0.8798988778
905	0.8797649098
906	0.8796736845
907	0.8795613655
908	0.8794984057
909	0.8793295894
910	0.8792464786
911	0.8791191241
912	0.878984956
913	0.878909214
914	0.8788157621
915	0.8786117597
916	0.8783715835
917	0.8782567316
918	0.8780305228
919	0.8779146689
920	0.8778340386
921	0.8777735842
922	0.8776377677
923	0.8774518525
924	0.8773391
